,Data
0,"Agar to Bairstow, FOUR runs good cut from Bairstow now, this runs away behind point to the boundary"
1,"Agar to Bairstow, no run solid in defence now"
2,"Agar to Bairstow, no run quicker from Agar, pushed away to cover"
3,"Agar to Bairstow, 2 runs Agar has this habit of every now and then drifting one way down leg, and Bairstow sweeps this away to fine leg"
4,"Agar to Bairstow, no run leans forward to defend"
5,"Agar to Bairstow, no run solidly defended again"
6,"Siddle to Bell, no run a stifled shout from Siddle as this one drifts down leg and strikes the pad"
7,"Siddle to Bell, no run fullish and on off stump, no real swing and this ball is driven away to mid-off"
8,"Siddle to Bell, no run curling away from Bell, who leaves it alone"
9,"Siddle to Bell, 3 runs another really solid drive from Bell, this one wide of mid-off and Agar chases it down, reels it in but without any real speed in his legs"
10,"Siddle to Bairstow, no run very solid in defence on off stump"
11,"Siddle to Bairstow, no run Bairstow defends to off"
12,"Agar to Bell, 1 run fullish and outside off, it's driven away to deep point"
13,"Agar to Bairstow, no run drifting in to off and it's driven to cover"
14,"Agar to Bairstow, no run quicker and no drift from Agar, it's cut to point"
15,"Agar to Bairstow, no run leans forward and defends very solidly"
16,"Agar to Bairstow, no run flighted in and Bairstow jams down on the ball, it bounces high and back to Agar"
17,"Agar to Bairstow, no run faster from Agar, left alone outside off"
18,"Harris to Bell, no run length ball well wide of off stump, ignored"
19,"Harris to Bell, no run a touch fuller and a tighter line that makes Bell block up the wicket"
20,"Harris to Bell, no run width available outside off stump so Bell back-cuts but only finds gully on the bounce"
21,"Harris to Bell, 1 run a touch straight and whipped out through square leg to the man in the deep"
22,"Harris to Bairstow, no run short ball around off stump, gets inside the line very comfortably"
23,"Harris to Bairstow, 1 run fuller length and clipped off the hip down to long leg"
24,"Watson to Bairstow, no run full of length just outside off stump, driven at and gets the inner half of the bat towards mid-off"
25,"Watson to Bairstow, FOUR runs back of a length well outside off, Bairstow flashes at it without getting into a great position and got a thick top edge that flies over gully, slightly fortunate but a hard flash at a poor ball"
26,"Watson to Bairstow, no run full at the stumps - he missed this earlier - drives this more carefully to mid-on's left who saves"
27,"Watson to Bairstow, no run off stump length delivery, Bairstow blocks on the crease and pushes to cover"
28,"Watson to Bairstow, no run another length ball on off stump, blocked in the crease again"
29,"Watson to Bairstow, no run fuller on off stump, gently blocked up the wicket"
30,"Harris to Bell, no run length ball wide of off stump, ignored"
31,"Harris to Bell, no run tighter line, blocked with a forward nudge up the wicket"
32,"Harris to Bell, 1 run full ball at middle and off, blocked on the front foot and runs it into midwicket for a quick single"
33,"Harris to Bairstow, FOUR runs oh lovely drive straight back past mid-on, that was a delightful stroke and how the stroke should be played, straight down the ground"
34,"Harris to Bairstow, no run another nice straight drive, gets this to mid-off"
35,"Harris to Bairstow, no run wider of off stump, let go a foot and a half outside off"
36,"Watson to Bell, 1 run full on leg stump, clipped out to deep square leg"
37,"Watson to Bairstow, 1 run same line and this is again played out square through the leg side"
38,"Watson to Bell, no run full length just outside off, Bell drives with an open face but point dives to his left and saves"
39,"Watson to Bell, 2 runs back foot punch through the covers, an easy nudge away down the hill, gets a couple"
40,"Watson to Bell, no run full just outside off, a lovely flourish of the bat through the line, gets it to mid-off"
41,"Watson to Bell, no run back of a length just outside off, Bell tried to force it away off the back foot but didn't quite get it and it rolls to point"
42,"Harris to Bairstow, 2 runs back of a length and swatted through midwicket, literally was a swat, bit of a tennis volley, gets it wide of deep square leg for a couple"
